SI. No.,Crop,Scale of Finance
1,Paddy (Irr.),44000.0
2,Paddy (SRI),37000.0
3,Paddy (Seed Production),49000.0
4,Jowar (Irr.),19000.0
5,Jowar (UI),18000.0
6,Jowar (Seed Production),25000.0
7,Bajra (Irr.),16000.0
8,Bajra (UI),16000.0
9,Raagi (Irr.),16000.0
10,Raagi (UI),16000.0
11,Maize (Irr.),33000.0
12,Maize (UI),27000.0
13,Wheat (Irr.),20000.0
14,Minor Millets,19000.0
15,Red gram (Irr.),23000.0
16,Red gram (UI),20000.0
17,Red gram (Organic),22000.0
18,Black gram (Irr.),20000.0
19,Black gram (UI),16000.0
20,Black gram (Organic),20000.0
21,Green gram (Irr.),21000.0
22,Green gram (UI),17000.0
23,Green gram (Organic),21000.0
24,Bengal gram,25000.0
25,Cow Pea,12000.0
26,Sunflower (Irr)(UI),28000.0
27,Soyabean,29000.0
28,Soyabean (seed production),35000.0
29,Groundnut (Irr.),29000.0
30,Groundnut (UI),25000.0
31,Seasamun/Gingelly,20000.0
32,Safflower/Kusumalu,19000.0
33,Mustard,14500.0
34,Castor (Irr.),20000.0
35,Castor (UI),18000.0
36,Cotton (UI),45000.0
37,Cotton (seed production),145000.0
38,Sugarcane (Plantation),79000.0
39,Sugarcane (Ratoon),65000.0
40,Oil palm (from 5th year onwards),43000.0
41,Chillies,83000.0
42,Tobacco,34000.0
43,Tomato (Irr.),54000.0
44,Tomato (UI),39000.0
45,Tomato (with mulching),69000.0
46,Brinjal (with mulching),54000.0
47,Brinjal (without mulching),39000.0
48,Colocasia,44000.0
49,Drumstick,34000.0
50,Ginger,66000.0
51,Garlic,39000.0
52,Sweet Potato,29000.0
53,Gourds,31000.0
54,Carrot,33000.0
55,Onion,44000.0
56,Potato,49000.0
57,Bhendi,29000.0
58,Gherkin,34000.0
59,Cabbage,33000.0
60,Cauliflower,34000.0
61,Curry leaf,24000.0
62,Coriander,24000.0
63,Coccinea,44000.0
64,Turmeric,86000.0
65,Vegetables (other than mentioned in the list),36000.0
66,Vegetables Shade net (excluding structure),66000.0
67,Capsicum,49000.0
68,Banana (Ratoon),46000.0
69,Banana (Tissue culture),96000.0
70,Citrus,44000.0
71,Acid Lime,49000.0
72,Cashewnut,39000.0
73,Dates (working capital),59000.0
74,Pomegranate,76000.0
75,Guava,46000.0
76,Custard apple,39000.0
77,Sweet Orange,49000.0
78,Grapes,99000.0
79,Grapes (Seedless),131000.0
80,Sapota,35000.0
81,Ber,34000.0
82,Watermelon,34000.0
83,Muskmelon,27000.0
84,Papaya,66000.0
85,Mango,43000.0
86,Mango (High Density),62500.0
87,Mango (Ultra High Density),92500.0
88,Fodder Cultivation,19000.0
89,Coconut,49000.0
90,Cocoa,34000.0
91,Fig,33000.0
92,Dragon Fruit (working capital),79000.0
93,Mulberry,59000.0
94,Honey Bee Rearing (45 days working capital cycle),34000.0
95,Silkworm Rearing (45 days working capital cycle),39000.0
96,Lac Farming (40 trees per year),24000.0
97,Jasmine,39000.0
98,Rose,51000.0
99,Marigold,37000.0
100,Flower gardens/Floriculture (Crops other than mentioned in the list),41000.0
101,Chrysanthemum,41000.0
102,Geranium,34000.0
103,Medicinal & Aromatic plants,44000.0
104,Amla,43000.0
105,Lemon grass,34000.0
106,Tasar Culture,14000.0
107,Roof Garden — 1 cycle,31000.0
108,Roof garden — 2 cycle,21000.0
109,Roof garden — 3 cycle,11000.0
110,Ashwagandha (Withania somnifera),8500.0
111,"Nilavemu, Kalamegha (Andrographis paniculata)",8500.0
112,Makandi (Coleus barbatus),14000.0
113,"Vasa (Myrtle grass, Acorus calamus)",19500.0
114,Challan gadda (Asparagus racemosus),19000.0
115,Kalabanda (Aloe vera),13500.0
116,Pilliadugu (Mucuna prurita),6000.0
117,Tulasi (Ocimum sanctum),9500.0
118,Tanikaya - Badam (Terminalia bellarica),12500.0
119,Nallakaraka - Badam (Terminalia chebula),12500.0
120,Thella Maddi - Badam (Terminalia arjuna),14000.0
121,Sandiliyamu—Wood Apple (Aegle marmelos),12500.0
122,Sonamukhi — Senna,8000.0
123,Palmarosa (Rusha ghas),25000.0
124,Other Horticulture crops,30500.0
