year,district,crop,season,price
2013,Adilabad,Arhar/Tur,Kharif,4900
2013,Adilabad,Arhar/Tur,Rabi,4093
2014,Adilabad,Arhar/Tur,Kharif,4900
2014,Adilabad,Arhar/Tur,Rabi,4093
2015,Adilabad,Arhar/Tur,Kharif,4900
2015,Adilabad,Arhar/Tur,Rabi,4093
2016,Adilabad,Arhar/Tur,Kharif,4900
2016,Adilabad,Arhar/Tur,Rabi,4093
2017,Adilabad,Arhar/Tur,Kharif,4898
2017,Adilabad,Arhar/Tur,Rabi,4093
2018,Adilabad,Arhar/Tur,Kharif,4992
2018,Adilabad,Arhar/Tur,Rabi,3943
2019,Adilabad,Arhar/Tur,Kharif,5616
2019,Adilabad,Arhar/Tur,Rabi,5062
2020,Adilabad,Arhar/Tur,Kharif,4761
2020,Adilabad,Arhar/Tur,Rabi,5688
2021,Adilabad,Arhar/Tur,Kharif,6570
2021,Adilabad,Arhar/Tur,Rabi,6390
2022,Adilabad,Arhar/Tur,Kharif,6696
2022,Adilabad,Arhar/Tur,Rabi,6604
2023,Adilabad,Arhar/Tur,Kharif,7332
2023,Adilabad,Arhar/Tur,Rabi,8245
2024,Adilabad,Arhar/Tur,Kharif,8878
2024,Adilabad,Arhar/Tur,Rabi,10153
2013,Adilabad,Banana,Kharif,587
2013,Adilabad,Banana,Whole Year,825
2014,Adilabad,Banana,Kharif,587
2014,Adilabad,Banana,Whole Year,825
2015,Adilabad,Banana,Kharif,587
2015,Adilabad,Banana,Whole Year,825
2016,Adilabad,Banana,Kharif,587
2016,Adilabad,Banana,Whole Year,825
2017,Adilabad,Banana,Kharif,587
2017,Adilabad,Banana,Whole Year,825
2018,Adilabad,Banana,Kharif,587
2018,Adilabad,Banana,Whole Year,825
2019,Adilabad,Banana,Kharif,587
2019,Adilabad,Banana,Whole Year,825
2020,Adilabad,Banana,Kharif,587
2020,Adilabad,Banana,Whole Year,825
2021,Adilabad,Banana,Kharif,587
2021,Adilabad,Banana,Whole Year,825
2022,Adilabad,Banana,Kharif,587
2022,Adilabad,Banana,Whole Year,587
2023,Adilabad,Banana,Kharif,587
2023,Adilabad,Banana,Whole Year,587
2024,Adilabad,Banana,Kharif,587
2024,Adilabad,Banana,Whole Year,587
2013,Adilabad,Coriander,Kharif,5606
2013,Adilabad,Coriander,Rabi,12000
2013,Adilabad,Coriander,Whole Year,12000
