year,district,crop,season,price
2025,Adilabad,Arhar/Tur,Kharif,6899.51
2025,Adilabad,Arhar/Tur,Rabi,7088.74
2025,Adilabad,Banana,Kharif,587.0
2025,Adilabad,Banana,Whole Year,707.29
2025,Adilabad,Coriander,Kharif,4831.2
2025,Adilabad,Coriander,Rabi,8234.84
2025,Adilabad,Coriander,Whole Year,9047.6
2025,Adilabad,Cowpea(Lobia),Rabi,2974.04
2025,Adilabad,Dry chillies,Kharif,10478.0
2025,Adilabad,Dry chillies,Rabi,5400.0
2025,Adilabad,Garlic,Rabi,3103.0
2025,Adilabad,Ginger,Kharif,587.0
2025,Adilabad,Gram,Kharif,4254.13
2025,Adilabad,Gram,Rabi,4281.43
2025,Adilabad,Groundnut,Rabi,4430.55
2025,Adilabad,Jowar,Kharif,1951.06
2025,Adilabad,Jowar,Rabi,1917.67
2025,Adilabad,Maize,Kharif,1793.32
2025,Adilabad,Maize,Rabi,1643.86
2025,Adilabad,Moong(Green Gram),Kharif,4531.73
2025,Adilabad,Moong(Green Gram),Rabi,7230.26
2025,Adilabad,Mustard,Rabi,3722.45
2025,Adilabad,Onion,Kharif,2983.58
2025,Adilabad,Onion,Rabi,1846.21
2025,Adilabad,Potato,Kharif,3000.0
2025,Adilabad,Potato,Rabi,2779.78
2025,Adilabad,Potato,Whole Year,2800.56
2025,Adilabad,Rice,Rabi,3000.0
2025,Adilabad,Safflower,Rabi,5059.38
2025,Adilabad,Sesamum,Kharif,11042.03
2025,Adilabad,Sesamum,Rabi,9759.99
2025,Adilabad,Soyabean,Kharif,4132.5
2025,Adilabad,Soyabean,Rabi,4726.07
2025,Adilabad,Sunflower,Rabi,5000.66
2025,Adilabad,Turmeric,Kharif,6311.0
2025,Adilabad,Turmeric,Rabi,8855.34
2025,Adilabad,Urad,Kharif,5352.52
2025,Adilabad,Urad,Rabi,5658.34
2025,Adilabad,Wheat,Kharif,1815.24
2025,Adilabad,Wheat,Rabi,1909.41
2025,Hyderabad,Banana,Kharif,1035.68
2025,Hyderabad,Banana,Whole Year,946.07
2025,Hyderabad,Coriander,Kharif,7285.34
2025,Hyderabad,Coriander,Rabi,7057.48
2025,Hyderabad,Coriander,Whole Year,7192.26
2025,Hyderabad,Dry chillies,Kharif,8172.72
2025,Hyderabad,Dry chillies,Rabi,8324.82
2025,Hyderabad,Garlic,Kharif,9205.01
2025,Hyderabad,Garlic,Rabi,8688.58
2025,Hyderabad,Groundnut,Kharif,2211.4
2025,Hyderabad,Groundnut,Rabi,2167.47
2025,Hyderabad,Maize,Kharif,971.73
2025,Hyderabad,Maize,Rabi,1092.78
2025,Hyderabad,Onion,Kharif,1855.88
2025,Hyderabad,Onion,Rabi,1137.1
2025,Hyderabad,Potato,Kharif,1739.51
2025,Hyderabad,Potato,Rabi,1569.15
2025,Hyderabad,Potato,Whole Year,1541.57
2025,Hyderabad,Sesamum,Rabi,6000.0
2025,Hyderabad,Sweet potato,Kharif,1142.32
2025,Hyderabad,Sweet potato,Rabi,1113.65
2025,Hyderabad,Sweet potato,Whole Year,1257.64
2025,Hyderabad,Turmeric,Kharif,7097.75
2025,Hyderabad,Turmeric,Rabi,8825.75
2025,Karimnagar,Arhar/Tur,Kharif,5320.02
2025,Karimnagar,Arhar/Tur,Rabi,6412.24
2025,Karimnagar,Bajra,Rabi,1246.05
2025,Karimnagar,Castor seed,Kharif,2808.5
2025,Karimnagar,Castor seed,Rabi,3333.92
2025,Karimnagar,Coriander,Kharif,722.93
2025,Karimnagar,Coriander,Rabi,402.0
2025,Karimnagar,Coriander,Whole Year,1070.2
2025,Karimnagar,Cowpea(Lobia),Kharif,4457.21
2025,Karimnagar,Cowpea(Lobia),Rabi,4886.16
2025,Karimnagar,Gram,Kharif,4480.79
2025,Karimnagar,Gram,Rabi,3892.77
2025,Karimnagar,Groundnut,Kharif,3691.21
2025,Karimnagar,Groundnut,Rabi,3873.53
2025,Karimnagar,Horse-gram,Rabi,3604.23
2025,Karimnagar,Jowar,Kharif,1000.0
2025,Karimnagar,Jowar,Rabi,2458.05
2025,Karimnagar,Maize,Kharif,1652.17
2025,Karimnagar,Maize,Rabi,1696.56
2025,Karimnagar,Moong(Green Gram),Kharif,5641.9
