year,district,crop,season,yield
2024,Adilabad,Arhar/Tur,Kharif,1.02
2024,Adilabad,Arhar/Tur,Rabi,1.24
2024,Adilabad,Bajra,Kharif,1.21
2024,Adilabad,Bajra,Rabi,0.96
2024,Adilabad,Banana,Kharif,49.97
2024,Adilabad,Cashewnut,Kharif,0.61
2024,Adilabad,Castor seed,Kharif,0.85
2024,Adilabad,Castor seed,Rabi,0.97
2024,Adilabad,Coriander,Kharif,1.0
2024,Adilabad,Coriander,Rabi,1.33
2024,Adilabad,Coriander,Whole Year,0.49
2024,Adilabad,Cowpea(Lobia),Kharif,0.88
2024,Adilabad,Cowpea(Lobia),Rabi,1.7
2024,Adilabad,Dry chillies,Kharif,3.9
2024,Adilabad,Dry chillies,Rabi,4.49
2024,Adilabad,Garlic,Kharif,4.0
2024,Adilabad,Garlic,Rabi,3.0
2024,Adilabad,Ginger,Kharif,7.89
2024,Adilabad,Ginger,Rabi,9.0
2024,Adilabad,Gram,Kharif,1.5
2024,Adilabad,Gram,Rabi,1.54
2024,Adilabad,Groundnut,Kharif,1.79
2024,Adilabad,Groundnut,Rabi,2.11
2024,Adilabad,Horse-gram,Rabi,0.43
2024,Adilabad,Jowar,Kharif,0.81
2024,Adilabad,Jowar,Rabi,1.77
2024,Adilabad,Linseed,Rabi,0.49
2024,Adilabad,Maize,Kharif,3.78
2024,Adilabad,Maize,Rabi,7.19
2024,Adilabad,Moong(Green Gram),Kharif,0.62
2024,Adilabad,Moong(Green Gram),Rabi,0.83
2024,Adilabad,Oilseeds total,Kharif,1.0
2024,Adilabad,Oilseeds total,Rabi,0.83
2024,Adilabad,Onion,Kharif,17.71
2024,Adilabad,Onion,Rabi,30.1
2024,Adilabad,Other Kharif pulses,Kharif,0.29
2024,Adilabad,Other Rabi pulses,Rabi,0.27
2024,Adilabad,Potato,Rabi,10.0
2024,Adilabad,Ragi,Rabi,0.82
2024,Adilabad,Rapeseed &Mustard,Rabi,1.19
2024,Adilabad,Rice,Kharif,2.97
2024,Adilabad,Rice,Rabi,3.4
2024,Adilabad,Safflower,Rabi,0.89
2024,Adilabad,Sesamum,Kharif,0.14
2024,Adilabad,Sesamum,Rabi,0.54
2024,Adilabad,Small millets,Kharif,1.72
2024,Adilabad,Small millets,Rabi,1.0
2024,Adilabad,Soyabean,Kharif,1.34
2024,Adilabad,Soyabean,Rabi,1.46
2024,Adilabad,Sugarcane,Kharif,87.82
2024,Adilabad,Sunflower,Rabi,2.72
2024,Adilabad,Sweet potato,Rabi,11.06
2024,Adilabad,Tobacco,Kharif,3.78
2024,Adilabad,Tobacco,Rabi,3.21
2024,Adilabad,Turmeric,Kharif,6.05
2024,Adilabad,Turmeric,Rabi,7.0
2024,Adilabad,Urad,Kharif,0.62
2024,Adilabad,Urad,Rabi,1.16
2024,Adilabad,Wheat,Kharif,2.05
2024,Adilabad,Wheat,Rabi,2.61
2024,Bhadradri,Arhar/Tur,Kharif,0.86
2024,Bhadradri,Arhar/Tur,Rabi,0.87
2024,Bhadradri,Bajra,Rabi,0.93
2024,Bhadradri,Banana,Kharif,46.61
2024,Bhadradri,Cashewnut,Kharif,0.43
2024,Bhadradri,Castor seed,Rabi,1.0
2024,Bhadradri,Cowpea(Lobia),Kharif,0.91
2024,Bhadradri,Cowpea(Lobia),Rabi,1.13
2024,Bhadradri,Dry chillies,Kharif,6.17
2024,Bhadradri,Dry chillies,Rabi,7.36
2024,Bhadradri,Ginger,Kharif,9.0
2024,Bhadradri,Gram,Rabi,1.73
2024,Bhadradri,Groundnut,Kharif,2.23
2024,Bhadradri,Groundnut,Rabi,3.53
2024,Bhadradri,Horse-gram,Rabi,1.91
2024,Bhadradri,Jowar,Kharif,0.93
2024,Bhadradri,Jowar,Rabi,1.88
2024,Bhadradri,Maize,Kharif,3.92
2024,Bhadradri,Maize,Rabi,7.32
2024,Bhadradri,Moong(Green Gram),Kharif,0.46
2024,Bhadradri,Moong(Green Gram),Rabi,0.9
